task,mode,agent,steps,total_reward,oracle_score,coverage,success,compromise_detected
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
hard,clean,random,8,-1.15,0.1,0.0,0,0
