task,mode,agent,steps,total_reward,oracle_score,coverage,success,partial_success,compromise_detected,phase,failure_reason,counterfactual_gain_diff,counterfactual_reward,efficiency_reward,regret,regret_penalty,had_checkpoints,phase_gating_violations,total_noisy_observations,noise_rate,matched_trajectory,valid_path_count,trajectory_diversity_bonus,path_frequency,contextual_bonus_scale
easy,clean,random,16,2.6474090011731337,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.23139758046980732,-0.011569879023490368,1,0,0,0.0,alternative_2,4,0.019018144357818272,0.16666666666666666,0.7607257743127308
easy,clean,random,16,2.6432865918735846,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.2274714763749983,-0.011373573818749915,1,0,0,0.0,alternative_2,4,0.015092040263009225,0.2857142857142857,0.603681610520369
easy,clean,random,16,2.640410229062959,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.2247320832220218,-0.01123660416110109,1,0,0,0.0,alternative_2,4,0.012352647110032733,0.375,0.49410588440130926
easy,clean,random,16,2.6383097244880487,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.22273160267448808,-0.011136580133724405,1,0,0,0.0,alternative_2,4,0.010352166562499028,0.4444444444444444,0.41408666249996107
easy,clean,random,16,2.6367207261004983,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.22121827087682092,-0.011060913543841047,1,0,0,0.0,alternative_2,4,0.008838834764831846,0.5,0.3535533905932738
easy,clean,random,16,2.635484379774543,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.22004079818543498,-0.01100203990927175,1,0,0,0.0,alternative_2,4,0.007661362073445934,0.5454545454545454,0.30645448293783734
easy,clean,random,16,2.6345000754889485,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21910336553248805,-0.010955168276624403,1,0,0,0.0,alternative_2,4,0.006723929420498986,0.5833333333333334,0.26895717681995945
easy,clean,random,16,2.6337013184108224,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.218342644505701,-0.01091713222528505,1,0,0,0.0,alternative_2,4,0.005963208393711944,0.6153846153846154,0.23852833574847776
easy,clean,random,16,2.6330425837036797,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21771527811794616,-0.010885763905897308,1,0,0,0.0,alternative_2,4,0.005335842005957114,0.6428571428571429,0.21343368023828455
easy,clean,random,16,2.632491764452834,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21719068835523594,-0.010859534417761798,1,0,0,0.0,alternative_2,4,0.004811252243246883,0.6666666666666666,0.1924500897298753
easy,clean,random,16,2.6320256358794065,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21674675638054333,-0.010837337819027168,1,0,0,0.0,alternative_2,4,0.004367320268554277,0.6875,0.17469281074217108
easy,clean,random,16,2.6316270264487036,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.2163671283513026,-0.01081835641756513,1,0,0,0.0,alternative_2,4,0.003987692239313532,0.7058823529411765,0.15950768957254127
easy,clean,random,16,2.6312829953649906,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21603947970014692,-0.010801973985007346,1,0,0,0.0,alternative_2,4,0.0036600435881578466,0.7222222222222222,0.14640174352631385
easy,clean,random,16,2.630983624826666,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21575436490174285,-0.010787718245087143,1,0,0,0.0,alternative_2,4,0.003374928789753797,0.7368421052631579,0.13499715159015188
easy,clean,random,16,2.6307211995974247,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21550443611198905,-0.010775221805599453,1,0,0,0.0,alternative_2,4,0.003125,0.75,0.125
easy,noisy,random,16,2.715594446889944,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.2152839006148121,-0.010764195030740605,1,0,0,0.0,alternative_2,4,0.0029044645028230166,0.7619047619047619,0.11617858011292065
easy,noisy,random,16,2.7153683395101456,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.2150881366496186,-0.01075440683248093,1,0,0,0.0,alternative_2,4,0.002708700537629524,0.7727272727272727,0.10834802150518096
easy,noisy,random,16,2.7151665378172205,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21491341656916382,-0.010745670828458192,1,0,0,0.0,alternative_2,4,0.002533980457174765,0.782608695652174,0.1013592182869906
easy,noisy,random,16,2.7149855349808436,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21475670415671635,-0.010737835207835819,1,0,0,0.0,alternative_2,4,0.0023772680447272845,0.7916666666666666,0.09509072178909136
easy,noisy,random,16,2.714822448903196,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21461550408948885,-0.010730775204474442,1,0,0,0.0,alternative_2,4,0.002236067977499789,0.8,0.08944271909999156
easy,noisy,random,16,2.7146748913802883,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.2144877486584002,-0.01072438743292001,1,0,0,0.0,alternative_2,4,0.0021083125464111275,0.8076923076923077,0.0843325018564451
easy,noisy,random,16,2.714540868457532,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.2143717114958406,-0.010718585574792031,1,0,0,0.0,alternative_2,4,0.0019922753838515525,0.8148148148148148,0.0796910153540621
easy,noisy,random,16,2.7144187037021554,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21426594114486522,-0.010713297057243262,1,0,0,0.0,alternative_2,4,0.0018865050328761537,0.8214285714285714,0.07546020131504615
easy,noisy,random,16,2.7143069785191636,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21416920938469897,-0.010708460469234949,1,0,0,0.0,alternative_2,4,0.0017897732727099134,0.8275862068965517,0.07159093090839654
easy,noisy,random,16,2.714204485287041,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.2140804706555885,-0.010704023532779425,1,0,0,0.0,alternative_2,4,0.0017010345435994286,0.8333333333333334,0.06804138174397714
easy,noisy,random,16,2.714110190237737,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21399882992026023,-0.010699941496013013,1,0,0,0.0,alternative_2,4,0.0016193938082711666,0.8387096774193549,0.06477575233084666
easy,noisy,random,16,2.7140232038156946,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21392351700074316,-0.01069617585003716,1,0,0,0.0,alternative_2,4,0.0015440808887540916,0.84375,0.06176323555016366
easy,noisy,random,16,2.713942756829537,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21385386593047678,-0.01069269329652384,1,0,0,0.0,alternative_2,4,0.0014744298184877326,0.8484848484848485,0.058977192739509306
easy,noisy,random,16,2.7138681811283725,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21378929822384085,-0.010689464911192043,1,0,0,0.0,alternative_2,4,0.0014098621118517844,0.8529411764705882,0.056394484474071374
easy,noisy,random,16,2.7137988938403463,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21372930922987915,-0.010686465461493959,1,0,0,0.0,alternative_2,4,0.001349873117890098,0.8571428571428571,0.053994924715603916
easy,adversarial,random,16,2.628798671458753,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21367345693230144,-0.010683672846615073,1,0,0,0.0,alternative_2,4,0.0012940208203123778,0.8611111111111112,0.051760832812495106
easy,adversarial,random,16,2.628743962018368,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21362135270336374,-0.010681067635168188,1,0,0,0.0,alternative_2,4,0.0012419165913746747,0.8648648648648649,0.049676663654986984
easy,adversarial,random,16,2.6286928279898847,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21357265362861738,-0.01067863268143087,1,0,0,0.0,alternative_2,4,0.0011932175166283084,0.868421052631579,0.04772870066513233
easy,adversarial,random,16,2.628644950587395,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21352705610243686,-0.010676352805121844,1,0,0,0.0,alternative_2,4,0.001147619990447809,0.8717948717948718,0.045904799617912356
easy,adversarial,random,16,2.628600046660309,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21348429045759304,-0.010674214522879652,1,0,0,0.0,alternative_2,4,0.0011048543456039807,0.875,0.04419417382415922
easy,adversarial,random,16,2.6285578639427873,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.2134441164409061,-0.010672205822045306,1,0,0,0.0,alternative_2,4,0.00106468032891704,0.8780487804878049,0.0425872131566816
easy,adversarial,random,16,2.628518177033897,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21340631938481994,-0.010670315969240998,1,0,0,0.0,alternative_2,4,0.0010268832728308845,0.8809523809523809,0.04107533091323538
easy,adversarial,random,16,2.628480783981791,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21337070695424265,-0.010668535347712133,1,0,0,0.0,alternative_2,4,0.000991270842253595,0.8837209302325582,0.0396508336901438
easy,adversarial,random,16,2.6284455033695644,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21333710637116982,-0.010666855318558491,1,0,0,0.0,alternative_2,4,0.0009576702591807417,0.8863636363636364,0.03830681036722967
easy,adversarial,random,16,2.628412171819647,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21330536203791498,-0.010665268101895749,1,0,0,0.0,alternative_2,4,0.0009259259259259266,0.8888888888888888,0.03703703703703706
easy,adversarial,random,16,2.6283806418488727,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.2132753334943203,-0.010663766674716016,1,0,0,0.0,alternative_2,4,0.0008958973823312329,0.8913043478260869,0.03583589529324931
easy,adversarial,random,16,2.628350780018576,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.2132468936559431,-0.010662344682797156,1,0,0,0.0,alternative_2,4,0.0008674575439540461,0.8936170212765957,0.03469830175816184
easy,adversarial,random,16,2.628322465333865,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21321992728955144,-0.010660996364477572,1,0,0,0.0,alternative_2,4,0.000840491177562373,0.8958333333333334,0.03361964710249492
easy,adversarial,random,16,2.628295587854121,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.2131943296897951,-0.010659716484489755,1,0,0,0.0,alternative_2,4,0.0008148935778060458,0.8979591836734694,0.03259574311224183
easy,adversarial,random,16,2.628270047483219,1.0,0.0,1,0.0,0,decision,success,1.3862943611198908,0.13862943611198908,0.09375,-0.21317000552703116,-0.01065850027635156,1,0,0,0.0,alternative_2,4,0.0007905694150420946,0.9,0.031622776601683784
easy,clean,heuristic,6,11.021260991826576,1.0,1.0,1,1.0,1,decision,success,0.0,0.0,0.25,0.77,0.038500000000000006,1,0,0,0.0,primary,4,0.0,0.0,0.0
easy,clean,heuristic,6,11.021260991826576,1.0,1.0,1,1.0,1,decision,success,0.0,0.0,0.25,0.77,0.038500000000000006,1,0,0,0.0,primary,4,0.0,0.0,0.0
easy,clean,heuristic,6,11.021260991826576,1.0,1.0,1,1.0,1,decision,success,0.0,0.0,0.25,0.77,0.038500000000000006,1,0,0,0.0,primary,4,0.0,0.0,0.0
easy,clean,heuristic,6,11.021260991826576,1.0,1.0,1,1.0,1,decision,success,0.0,0.0,0.25,0.77,0.038500000000000006,1,0,0,0.0,primary,4,0.0,0.0,0.0
easy,clean,heuristic,6,11.021260991826576,1.0,1.0,1,1.0,1,decision,success,0.0,0.0,0.25,0.77,0.038500000000000006,1,0,0,0.0,primary,4,0.0,0.0,0.0
easy,clean,heuristic,6,11.021260991826576,1.0,1.0,1,1.0,1,decision,success,0.0,0.0,0.25,0.77,0.038500000000000006,1,0,0,0.0,primary,4,0.0,0.0,0.0
easy,clean,heuristic,6,11.021260991826576,1.0,1.0,1,1.0,1,decision,success,0.0,0.0,0.25,0.77,0.038500000000000006,1,0,0,0.0,primary,4,0.0,0.0,0.0
easy,clean,heuristic,6,11.021260991826576,1.0,1.0,1,1.0,1,decision,success,0.0,0.0,0.25,0.77,0.038500000000000006,1,0,0,0.0,primary,4,0.0,0.0,0.0
easy,clean,heuristic,6,11.021260991826576,1.0,1.0,1,1.0,1,decision,success,0.0,0.0,0.25,0.77,0.038500000000000006,1,0,0,0.0,primary,4,0.0,0.0,0.0
easy,clean,heuristic,6,11.021260991826576,1.0,1.0,1,1.0,1,decision,success,0.0,0.0,0.25,0.77,0.038500000000000006,1,0,0,0.0,primary,4,0.0,0.0,0.0
easy,clean,heuristic,6,11.021260991826576,1.0,1.0,1,1.0,1,decision,success,0.0,0.0,0.25,0.77,0.038500000000000006,1,0,0,0.0,primary,4,0.0,0.0,0.0
easy,clean,heuristic,6,11.021260991826576,1.0,1.0,1,1.0,1,decision,success,0.0,0.0,0.25,0.77,0.038500000000000006,1,0,0,0.0,primary,4,0.0,0.0,0.0
easy,clean,heuristic,6,11.021260991826576,1.0,1.0,1,1.0,1,decision,success,0.0,0.0,0.25,0.77,0.038500000000000006,1,0,0,0.0,primary,4,0.0,0.0,0.0
easy,clean,heuristic,6,11.021260991826576,1.0,1.0,1,1.0,1,decision,success,0.0,0.0,0.25,0.77,0.038500000000000006,1,0,0,0.0,primary,4,0.0,0.0,0.0
easy,clean,heuristic,6,11.021260991826576,1.0,1.0,1,1.0,1,decision,success,0.0,0.0,0.25,0.77,0.038500000000000006,1,0,0,0.0,primary,4,0.0,0.0,0.0
easy,noisy,heuristic,6,10.625227708299004,1.0,1.0,1,1.0,0,decision,success,0.0,0.0,0.25,0.7658296827078547,0.03829148413539274,1,0,4,0.6666666666666666,alternative_2,4,0.004170317292145304,0.696969696969697,0.16681269168581217
easy,noisy,heuristic,6,11.197910991826575,1.0,1.0,1,1.0,1,decision,success,0.0,0.0,0.25,0.77,0.038500000000000006,1,0,3,0.5,primary,4,0.0,0.0,0.0
