task,mode,agent,steps,total_reward,oracle_score,coverage,success,partial_success,compromise_detected,phase,failure_reason,counterfactual_gain_diff,counterfactual_reward,efficiency_reward,regret,regret_penalty,had_checkpoints,phase_gating_violations,total_noisy_observations,noise_rate,matched_trajectory,valid_path_count,trajectory_diversity_bonus,path_frequency,contextual_bonus_scale,exploration_alpha,policy_entropy,entropy_normalized,time_decay_factor
hard,clean,random,16,1.9758774495974247,0.0,0.0,0,0.0,0,decision,insufficient_exploration,1.3862943611198908,0.13862943611198908,0.1875,-0.30612943611198906,-0.015306471805599454,1,0,0,0.0,unknown,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0
hard,clean,random,16,1.9758774495974247,0.0,0.0,0,0.0,0,decision,insufficient_exploration,1.3862943611198908,0.13862943611198908,0.1875,-0.30612943611198906,-0.015306471805599454,1,0,0,0.0,unknown,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0
hard,clean,random,16,1.9758774495974247,0.0,0.0,0,0.0,0,decision,insufficient_exploration,1.3862943611198908,0.13862943611198908,0.1875,-0.30612943611198906,-0.015306471805599454,1,0,0,0.0,unknown,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0
hard,clean,random,16,1.9758774495974247,0.0,0.0,0,0.0,0,decision,insufficient_exploration,1.3862943611198908,0.13862943611198908,0.1875,-0.30612943611198906,-0.015306471805599454,1,0,0,0.0,unknown,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0
hard,clean,random,16,1.9758774495974247,0.0,0.0,0,0.0,0,decision,insufficient_exploration,1.3862943611198908,0.13862943611198908,0.1875,-0.30612943611198906,-0.015306471805599454,1,0,0,0.0,unknown,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0
hard,clean,random,16,1.9758774495974247,0.0,0.0,0,0.0,0,decision,insufficient_exploration,1.3862943611198908,0.13862943611198908,0.1875,-0.30612943611198906,-0.015306471805599454,1,0,0,0.0,unknown,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0
hard,clean,random,16,1.9758774495974247,0.0,0.0,0,0.0,0,decision,insufficient_exploration,1.3862943611198908,0.13862943611198908,0.1875,-0.30612943611198906,-0.015306471805599454,1,0,0,0.0,unknown,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0
hard,clean,random,16,1.9758774495974247,0.0,0.0,0,0.0,0,decision,insufficient_exploration,1.3862943611198908,0.13862943611198908,0.1875,-0.30612943611198906,-0.015306471805599454,1,0,0,0.0,unknown,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0
hard,clean,random,16,1.9758774495974247,0.0,0.0,0,0.0,0,decision,insufficient_exploration,1.3862943611198908,0.13862943611198908,0.1875,-0.30612943611198906,-0.015306471805599454,1,0,0,0.0,unknown,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0
hard,clean,random,16,1.9758774495974247,0.0,0.0,0,0.0,0,decision,insufficient_exploration,1.3862943611198908,0.13862943611198908,0.1875,-0.30612943611198906,-0.015306471805599454,1,0,0,0.0,unknown,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0
hard,clean,random,16,1.9758774495974247,0.0,0.0,0,0.0,0,decision,insufficient_exploration,1.3862943611198908,0.13862943611198908,0.1875,-0.30612943611198906,-0.015306471805599454,1,0,0,0.0,unknown,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0
